NOTICE_REF,NOTICE_TITLE,NOTICE_DATETIME,NOTICE_CONTENT
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/450975/index.html,关于西城区南新华街北京师范大学 附属中学门前路口限时禁止 机动车掉头的通告,2016-05-03,北京市公安局公安交通管理局通告为保证西城区南新华街北京师范大学附属中学门前路口的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年5月4日起，西城区南新华街北京师范大学附属中学门前路口，工作日7时至8时，15:30时至17:30时，禁止机动车由南向南方向掉头。特此通告。 北京市公安局公安交通管理局 　2016年4月28日2016年第27号关于西城区南新华街北京师范大学附属中学门前路口限时禁止机动车掉头的通告为保证西城区南新华街北京师范大学附属中学门前路口的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年5月4日起，西城区南新华街北京师范大学附属中学门前路口，工作日7时至8时，15:30时至17:30时，禁止机动车由南向南方向掉头。特此通告。 北京市公安局公安交通管理局 　2016年4月28日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/439265/index.html,关于指定小型客车学习驾驶和考试路线的通告,2016-03-01,北京市公安局公安交通管理局通告根据《中华人民共和国道路交通安全法实施条例》和《机动车驾驶证申领和使用规定》的有关规定，为保证道路交通安全与畅通，决定指定部分道路作为小型客车学习驾驶和考试路线。现通告如下：一、自本通告发布之日起，在本市道路上学习驾驶机动车，以及参加机动车的道路驾驶技能考试，新增以下学习驾驶和考试路线：（一）九龙考试场：西辛房-矿建街-增北路桥调头-矿建街-西辛房。（二）海驾考试场：1.稻香湖路北庄子村-稻香湖路北口-帘青路北口调头-稻香湖路北口-稻香湖垂钓园调头-稻香湖路北庄子村。2.稻香湖路北庄子村-稻香湖垂钓园调头-稻香湖路北口-前章村路口调头-稻香湖路北口-稻香湖路北庄子村。3.翠湖北路翠湖小区门口-八家路口调头-翠湖北路翠湖小区门口。（三）东方考试场：东方时尚科目三综合楼-东方时尚北门-芦东路丁字路口右转-东方时尚路-芦东路路口调头-东方时尚路-丰园路调头-东方时尚路-芦东路丁字路口右转-东方时尚北门-东方时尚科目三综合楼。（四）京北考试场、北方考试场：1.南百路西口-京密北路-凯创路东口。2.凯创路东口-京密北路-南百路-南百路西口。3.南环北路东口-内环西路-南环路-南丰路-南环北路东口。二、在道路上学习机动车驾驶技能应当使用教练车，在教练员随车指导下进行，与教学无关人员不得乘坐教练车。三、请通行上述道路的其他车辆和行人注意交通安全。特此通告。北京市公安局公安交通管理局2016年3月1日关于指定小型客车学习驾驶和考试路线的通告根据《中华人民共和国道路交通安全法实施条例》和《机动车驾驶证申领和使用规定》的有关规定，为保证道路交通安全与畅通，决定指定部分道路作为小型客车学习驾驶和考试路线。现通告如下：一、自本通告发布之日起，在本市道路上学习驾驶机动车，以及参加机动车的道路驾驶技能考试，新增以下学习驾驶和考试路线：（一）九龙考试场：西辛房-矿建街-增北路桥调头-矿建街-西辛房。（二）海驾考试场：1.稻香湖路北庄子村-稻香湖路北口-帘青路北口调头-稻香湖路北口-稻香湖垂钓园调头-稻香湖路北庄子村。2.稻香湖路北庄子村-稻香湖垂钓园调头-稻香湖路北口-前章村路口调头-稻香湖路北口-稻香湖路北庄子村。3.翠湖北路翠湖小区门口-八家路口调头-翠湖北路翠湖小区门口。（三）东方考试场：东方时尚科目三综合楼-东方时尚北门-芦东路丁字路口右转-东方时尚路-芦东路路口调头-东方时尚路-丰园路调头-东方时尚路-芦东路丁字路口右转-东方时尚北门-东方时尚科目三综合楼。（四）京北考试场、北方考试场：1.南百路西口-京密北路-凯创路东口。2.凯创路东口-京密北路-南百路-南百路西口。3.南环北路东口-内环西路-南环路-南丰路-南环北路东口。二、在道路上学习机动车驾驶技能应当使用教练车，在教练员随车指导下进行，与教学无关人员不得乘坐教练车。三、请通行上述道路的其他车辆和行人注意交通安全。特此通告。北京市公安局公安交通管理局2016年3月1日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/429480/index.html,关于通州区中山街部分路段 禁止机动车由西向东方向行驶的通告,2015-12-22,北京市公安局公安交通管理局通告为保证通州区中山街的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月28日起，通州区中山街（新华南路至新仓路），每天7时至8时、16时至17时，禁止机动车由西向东方向行驶。特此通告。 北京市公安局公安交通管理局 2015年12月21日2015年第53号关于通州区中山街部分路段禁止机动车由西向东方向行驶的通告为保证通州区中山街的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月28日起，通州区中山街（新华南路至新仓路），每天7时至8时、16时至17时，禁止机动车由西向东方向行驶。特此通告。 北京市公安局公安交通管理局 2015年12月21日
http://bjjtgl.gov.cn/jgj/bjsgajtg/450431/index.html,关于2016春季北京 国际长走大会交通管制的通告,2016-04-28,北京市公安局通告经市政府批准，2016年春季北京国际长走大会定于2016年5月7日在房山区长沟镇举行。为保证活动顺利进行，根据《北京市实施〈中华人民共和国道路交通安全法〉办法》的有关规定，活动期间将对长沟镇活动现场及长走路线分时、分段采取临时交通管制。通告如下：一、5月7日7时至8时30分，房易路长沟中学路口至云居寺路后石门北口、长沟镇环湖路、东甘池村路、南甘池村路、西甘池村路、轩辕寺路、三座庵南路、京昆高速公路云居寺路出口（45）除持有长走大会组委会核发专用证件的车辆外，禁止其他车辆通行；8时30分至长走活动结束，上述路段禁止所有车辆通行。二、上述路段采取交通管制期间，通行房易路长沟中学路口至云居寺路后石门北口路段的社会车辆，可绕行房易路、石水路；通行长沟镇环湖路至东甘池村南路路段的社会车辆，可绕行东甘池村东路；通行南甘池村南路、西甘池村东路、轩辕寺路、三座庵南路路段的社会车辆，可绕行南甘池村东路、西甘池村南路、三座庵村路；由京昆高速公路云居寺路（45）出口出京方向去往云居寺路方向的车辆，可由张坊（56）出口驶出绕行房易路；由京昆高速公路云居寺（45）出口进京方向去往云居寺路方向的车辆可提前由张坊（56）出口驶出绕行房易路。三、在交通管制时间和区域内运营的公交车辆，运营时间和路线由公交部门进行临时调整，并发布公告周知社会。四、前往活动现场的游客和沿线单位、市民，请提前安排好出行路线，以免影响工作和生活。五、活动沿线的村、镇居民，请看管好自家的牲畜，以免发生意外，影响长走活动的顺利进行。请社会单位和广大群众给予理解和支持，自觉遵照执行。特此通告。 北京市公安局 2016年4月25日2016年第5号关于2016春季北京国际长走大会交通管制的通告经市政府批准，2016年春季北京国际长走大会定于2016年5月7日在房山区长沟镇举行。为保证活动顺利进行，根据《北京市实施〈中华人民共和国道路交通安全法〉办法》的有关规定，活动期间将对长沟镇活动现场及长走路线分时、分段采取临时交通管制。通告如下：一、5月7日7时至8时30分，房易路长沟中学路口至云居寺路后石门北口、长沟镇环湖路、东甘池村路、南甘池村路、西甘池村路、轩辕寺路、三座庵南路、京昆高速公路云居寺路出口（45）除持有长走大会组委会核发专用证件的车辆外，禁止其他车辆通行；8时30分至长走活动结束，上述路段禁止所有车辆通行。二、上述路段采取交通管制期间，通行房易路长沟中学路口至云居寺路后石门北口路段的社会车辆，可绕行房易路、石水路；通行长沟镇环湖路至东甘池村南路路段的社会车辆，可绕行东甘池村东路；通行南甘池村南路、西甘池村东路、轩辕寺路、三座庵南路路段的社会车辆，可绕行南甘池村东路、西甘池村南路、三座庵村路；由京昆高速公路云居寺路（45）出口出京方向去往云居寺路方向的车辆，可由张坊（56）出口驶出绕行房易路；由京昆高速公路云居寺（45）出口进京方向去往云居寺路方向的车辆可提前由张坊（56）出口驶出绕行房易路。三、在交通管制时间和区域内运营的公交车辆，运营时间和路线由公交部门进行临时调整，并发布公告周知社会。四、前往活动现场的游客和沿线单位、市民，请提前安排好出行路线，以免影响工作和生活。五、活动沿线的村、镇居民，请看管好自家的牲畜，以免发生意外，影响长走活动的顺利进行。请社会单位和广大群众给予理解和支持，自觉遵照执行。特此通告。 北京市公安局 2016年4月25日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/438905/index.html,关于对运载危险化学品车辆 采取临时交通管理措施的通告,2016-02-26,北京市公安局公安交通管理局通告为保证本市道路交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年3月1日0时至2016年3月18日24时，全天禁止运载危险化学品（含剧毒化学品）车辆在本市行政区域内道路行驶。确需进入禁限区域道路行驶的运载危险化学品（含剧毒化学品）车辆，办理相关证件后按规定行驶。特此通告。 　　 北京市公安局公安交通管理局 　2016年2月25日2016年第12号关于对运载危险化学品车辆采取临时交通管理措施的通告为保证本市道路交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年3月1日0时至2016年3月18日24时，全天禁止运载危险化学品（含剧毒化学品）车辆在本市行政区域内道路行驶。确需进入禁限区域道路行驶的运载危险化学品（含剧毒化学品）车辆，办理相关证件后按规定行驶。特此通告。 　　 北京市公安局公安交通管理局 　2016年2月25日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/428428/index.html,关于海淀区小营西路与毛纺路交叉口 限时禁止机动车掉头的通告,2015-12-15,北京市公安局公安交通管理局通告 北京市公安局公安交通管理局 2015年12月14日2015年第52号关于海淀区小营西路与毛纺路交叉口限时禁止机动车掉头的通告 北京市公安局公安交通管理局 2015年12月14日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/450428/index.html,关于2016年“劳动节”期间调整本市机动车 和非本市进京载客汽车交通管理措施的通告,2016-04-28,北京市公安局公安交通管理局通告根据国务院办公厅关于2016年部分节假日的安排，2016年4月30日至5月2日期间，对本市机动车和非本市进京载客汽车交通管理措施进行以下调整：一、本市机动车不受工作日高峰时段区域限行交通管理措施的限制。二、非本市进京载客汽车不受7时至9时、17时至20时禁止在五环路（含）以内道路行驶和9时至17时按车牌尾号区域限行交通管理措施的限制。特此通告。 　　 北京市公安局公安交通管理局 　2016年4月25日2016年第26号关于2016年“劳动节”期间调整本市机动车和非本市进京载客汽车交通管理措施的通告根据国务院办公厅关于2016年部分节假日的安排，2016年4月30日至5月2日期间，对本市机动车和非本市进京载客汽车交通管理措施进行以下调整：一、本市机动车不受工作日高峰时段区域限行交通管理措施的限制。二、非本市进京载客汽车不受7时至9时、17时至20时禁止在五环路（含）以内道路行驶和9时至17时按车牌尾号区域限行交通管理措施的限制。特此通告。 　　 北京市公安局公安交通管理局 　2016年4月25日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/436266/index.html,关于对丰台区南站地区部分道路 采取交通管理措施的通告,2016-02-05,北京市公安局公安交通管理局通告　　 北京市公安局公安交通管理局 　　2016年2月2日2016年第11号关于对丰台区南站地区部分道路采取交通管理措施的通告　　 北京市公安局公安交通管理局 　　2016年2月2日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/428425/index.html,关于金鱼胡同东口限时禁止机动车 由东向南由南向西左转弯的通告,2015-12-15,北京市公安局公安交通管理局通告 北京市公安局公安交通管理局 2015年12月14日2015年第51号关于金鱼胡同东口限时禁止机动车由东向南由南向西左转弯的通告 北京市公安局公安交通管理局 2015年12月14日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/450425/index.html,关于大兴区南六环路东赵村桥施工期间 禁止机动车非机动车及行人通行的通告,2016-04-28,北京市公安局公安交通管理局通告经有关部门批准，大兴区南六环路东赵村桥将进行桥梁拆除及新建施工。为保证施工期间的道路交通安全与畅通，根据《中华人民共和国道路交通安全法》及《中华人民共和国道路交通安全法实施条例》的有关规定，决定自2016年5月6日起至2016年9月30日止大兴区南六环路东赵村桥禁止机动车、非机动车及行人通行。被禁行的机动车、非机动车及行人可绕行南六环路的磁各庄桥、三间房桥以及南大红门桥。特此通告。 　　 北京市公安局公安交通管理局 2016年4月26日2016年第25号关于大兴区南六环路东赵村桥施工期间禁止机动车非机动车及行人通行的通告经有关部门批准，大兴区南六环路东赵村桥将进行桥梁拆除及新建施工。为保证施工期间的道路交通安全与畅通，根据《中华人民共和国道路交通安全法》及《中华人民共和国道路交通安全法实施条例》的有关规定，决定自2016年5月6日起至2016年9月30日止大兴区南六环路东赵村桥禁止机动车、非机动车及行人通行。被禁行的机动车、非机动车及行人可绕行南六环路的磁各庄桥、三间房桥以及南大红门桥。特此通告。 　　 北京市公安局公安交通管理局 2016年4月26日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/435923/index.html,关于2016年春节期间对厂甸庙会 大观园庙会周边道路采取临时 交通管理措施的通告,2016-02-03,北京市公安局公安交通管理局通告为确保2016年春节期间厂甸庙会、大观园庙会周边道路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年2月8日起至2月12日止，对厂甸庙会、大观园庙会周边道路采取以下临时交通管理措施：一、厂甸庙会（陶然亭公园）周边道路每天8时30分至17时30分，黑窑厂街南口禁止机动车由西向北方向左转弯。二、大观园公园周边道路每天8时30分至17时30分，大观园路口禁止机动车由西向北方向左转弯（公交车除外）和由东向北方向右转弯。特此通告。 北京市公安局公安交通管理局 　2016年2月2日2016年第10号关于2016年春节期间对厂甸庙会大观园庙会周边道路采取临时交通管理措施的通告为确保2016年春节期间厂甸庙会、大观园庙会周边道路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2016年2月8日起至2月12日止，对厂甸庙会、大观园庙会周边道路采取以下临时交通管理措施：一、厂甸庙会（陶然亭公园）周边道路每天8时30分至17时30分，黑窑厂街南口禁止机动车由西向北方向左转弯。二、大观园公园周边道路每天8时30分至17时30分，大观园路口禁止机动车由西向北方向左转弯（公交车除外）和由东向北方向右转弯。特此通告。 北京市公安局公安交通管理局 　2016年2月2日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/428377/index.html,关于房山区部分道路禁止核定载 质量5吨（含）以上载货汽车通行的通告,2015-12-14,北京市公安局公安交通管理局通告 为保证房山区部分道路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月19日起，将对房山区以下道路采取禁止核定载质量5吨（含）以上载货汽车通行的交通管理措施：一、房易路(五候路口至良各庄路口)；二、云居寺路（周张路至房易路）。核定载质量5吨（含）以上载货汽车可绕行长琉路、周张路、京昆高速公路。特此通告。 北京市公安局公安交通管理局 2015年12月11日2015年第50号关于房山区部分道路禁止核定载质量5吨（含）以上载货汽车通行的通告 为保证房山区部分道路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月19日起，将对房山区以下道路采取禁止核定载质量5吨（含）以上载货汽车通行的交通管理措施：一、房易路(五候路口至良各庄路口)；二、云居寺路（周张路至房易路）。核定载质量5吨（含）以上载货汽车可绕行长琉路、周张路、京昆高速公路。特此通告。 北京市公安局公安交通管理局 2015年12月11日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/450126/index.html,关于2016年“劳动节”期间对本市部分道路 采取临时交通管理措施的通告,2016-04-26,北京市公安局公安交通管理局通告2016年第24号关于2016年“劳动节”期间对本市部分道路采取临时交通管理措施的通告
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/435920/index.html,关于2016年春节期间对白云观周边道路 采取临时交通管理措施的通告,2016-02-03,北京市公安局公安交通管理局通告为确保2016年春节期间白云观周边道路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，对白云观周边道路采取以下临时交通管理措施：一、2016年2月8日，5时30分至16时，白云路由跨河桥南侧灯控路口（不含）至白云桥下路口（不含）禁止机动车通行（公交车除外）。 北京市公安局公安交通管理局 　　2016年2月2日2016年第9号关于2016年春节期间对白云观周边道路采取临时交通管理措施的通告为确保2016年春节期间白云观周边道路的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，对白云观周边道路采取以下临时交通管理措施：一、2016年2月8日，5时30分至16时，白云路由跨河桥南侧灯控路口（不含）至白云桥下路口（不含）禁止机动车通行（公交车除外）。 北京市公安局公安交通管理局 　　2016年2月2日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/427985/index.html,关于西城区德胜门外大街与 安德路交叉口采取交通管理措施的通告,2015-12-11,北京市公安局公安交通管理局通告为保证西城区德胜门外大街与安德路交叉口的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月16日起，西城区德胜门外大街与安德路交叉口北进口，辅路禁止机动车由北向东左转，主路禁止机动车由北向西右转。特此通告。 　　 北京市公安局公安交通管理局 　2015年12月10日2015年第49号关于西城区德胜门外大街与安德路交叉口采取交通管理措施的通告为保证西城区德胜门外大街与安德路交叉口的交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定自2015年12月16日起，西城区德胜门外大街与安德路交叉口北进口，辅路禁止机动车由北向东左转，主路禁止机动车由北向西右转。特此通告。 　　 北京市公安局公安交通管理局 　2015年12月10日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/444445/index.html,北京市公安局公安交通管理局 天津市公安交通管理局 关于清明节和五一假日期间对危险物品 运输车辆采取临时交通管理措施通告,2016-04-26,北京市公安局公安交通管理局通告为确保清明节和五一假日期间高速公路交通安全，根据《中华人民共和国道路交通安全法》及《危险化学品安全管理条例》的有关规定，自2016年4月2日0时至4月4日24时和2016年4月30日0时至5月2日24时，采取危险物品运输车辆限行措施，具体如下：一、禁止危险物品运输车辆（包括持有危险化学品道路运输专线通行证及剧毒化学品公路运输通行证的危险物品运输车辆）在北京市行政区域内高速公路行驶。二、禁止危险物品运输车辆（包括持有载运危险化学品时间路线速度报告凭证及剧毒化学品公路运输通行证的危险物品运输车辆）在天津市行政区域内高速公路行驶。特此通告。 北京市公安局公安交通管理局 天津市公安交通管理局 2016年3月28日2016年第19号北京市公安局公安交通管理局天津市公安交通管理局关于清明节和五一假日期间对危险物品运输车辆采取临时交通管理措施通告为确保清明节和五一假日期间高速公路交通安全，根据《中华人民共和国道路交通安全法》及《危险化学品安全管理条例》的有关规定，自2016年4月2日0时至4月4日24时和2016年4月30日0时至5月2日24时，采取危险物品运输车辆限行措施，具体如下：一、禁止危险物品运输车辆（包括持有危险化学品道路运输专线通行证及剧毒化学品公路运输通行证的危险物品运输车辆）在北京市行政区域内高速公路行驶。二、禁止危险物品运输车辆（包括持有载运危险化学品时间路线速度报告凭证及剧毒化学品公路运输通行证的危险物品运输车辆）在天津市行政区域内高速公路行驶。特此通告。 北京市公安局公安交通管理局 天津市公安交通管理局 2016年3月28日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/435917/index.html,关于2016年春节期间对雍和宫大街 采取临时交通管理措施的通告,2016-02-03,北京市公安局公安交通管理局通告为保证春节期间雍和宫大街的道路交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定2016年2月8日（正月初一）6时至16时，雍和宫大街由雍和宫桥下路口（不含）至北新桥路口（不含）双方向禁止车辆通行。 北京市公安局公安交通管理局 　2016年2月2日2016年第8号关于2016年春节期间对雍和宫大街采取临时交通管理措施的通告为保证春节期间雍和宫大街的道路交通安全与畅通，根据《中华人民共和国道路交通安全法》的有关规定，决定2016年2月8日（正月初一）6时至16时，雍和宫大街由雍和宫桥下路口（不含）至北新桥路口（不含）双方向禁止车辆通行。 北京市公安局公安交通管理局 　2016年2月2日
http://bjjtgl.gov.cn/jgj/bjsgajgajtgljtg/427737/index.html,关于调整西城区阜成门南顺城街 中国联通大厦东侧路交通管理措施的通告,2015-12-09,北京市公安局公安交通管理局通告 　　 北京市公安局公安交通管理局 　2015年12月8日2015年第48号关于调整西城区阜成门南顺城街中国联通大厦东侧路交通管理措施的通告 　　 北京市公安局公安交通管理局 　2015年12月8日
